4 Jan 1999 - 27 July 2018,EUR/USD,GBP/USD,AUD/USD,USD/CAD,USD/CHF,SP500,DGS10
11/29/99,1.01,1.6024,0.6368,1.4752,1.5878,1407.829956,6.21
11/30/99,1.0077,1.5935,0.6371,1.472,1.5893,1388.910034,6.18
12/1/99,1.0059,1.596,0.6354,1.475,1.592,1397.719971,6.21
12/2/99,1.0023,1.5972,0.633,1.4795,1.595,1409.040039,6.24
12/3/99,1.0016,1.6015,0.6332,1.4793,1.5925,1433.300049,6.17
12/6/99,1.0252,1.623,0.6348,1.4742,1.5608,1423.329956,6.16
12/7/99,1.0222,1.6233,0.6362,1.475,1.5645,1409.170044,6.11
12/8/99,1.0263,1.6255,0.638,1.4794,1.56,1403.880005,6.15
12/9/99,1.0161,1.623,0.6396,1.4745,1.5741,1408.109985,6.14
12/10/99,1.0158,1.6225,0.6365,1.4787,1.5745,1417.040039,6.08
12/13/99,1.012,1.6232,0.633,1.4796,1.5834,1415.219971,6.11
12/14/99,1.0067,1.611,0.6352,1.4823,1.5895,1403.170044,6.22
12/15/99,1.0066,1.6085,0.6357,1.4837,1.5903,1413.329956,6.25
12/16/99,1.0169,1.6123,0.6425,1.4785,1.5758,1418.780029,6.31
12/17/99,1.0088,1.607,0.6426,1.4778,1.5888,1421.030029,6.3
12/20/99,1.0066,1.6035,0.6416,1.48,1.59,1418.089966,6.36
12/21/99,1.0093,1.6103,0.6433,1.4796,1.5847,1433.430054,6.38
12/22/99,1.008,1.606,0.6436,1.4769,1.5863,1436.130005,6.39
12/23/99,1.0162,1.6161,0.6453,1.4735,1.577,1458.339966,6.41
12/27/99,1.0136,1.6173,0.6448,1.4623,1.5835,1457.099976,6.4
12/28/99,1.0068,1.6165,0.645,1.4545,1.594,1457.660034,6.43
12/29/99,1.0045,1.6168,0.6503,1.4507,1.5977,1463.459961,6.4
12/30/99,1.0024,1.613,0.6539,1.4533,1.6015,1464.469971,6.39
12/31/99,1.007,1.615,0.656,1.444,1.593,1469.25,6.45
1/3/00,1.0155,1.627,0.6591,1.4465,1.5808,1455.219971,6.58
